age,sport_licence,niveau_etude,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
57.0,oui,aucun,3765.0,divorcé,0.29,2020-01-02,4310.298000000001,500.0
59.0,oui,bac,1640.0,veuf,0.45,2022-06-15,10000.0,3720.305007666426
61.0,oui,aucun,3974.0,divorcé,0.84,2023-01-30,5000.0,500.0
67.0,oui,aucun,4633.0,veuf,0.84,2025-04-17,453.27,500.0
71.0,non,doctorat,2077.0,veuf,0.43,2021-01-15,7126.616,6069.528722438526
72.0,non,aucun,1408.0,marié,0.73,2025-01-13,3474.8239999999996,500.0
74.0,oui,master,2456.0,veuf,0.09,2025-03-10,6099.969999999999,9295.06139134704
50.0,non,bac,4343.0,divorcé,0.33,2024-11-07,5165.505999999999,500.0
47.0,oui,doctorat,3830.0,célibataire,0.63,2021-01-06,2403.4100000000003,14969.828513000748
45.0,oui,bac+2,2778.0,veuf,0.75,2021-11-21,3522.13,500.0
45.0,non,doctorat,500.0,veuf,0.16,2021-06-14,5000.0,19071.53279373577
52.0,oui,doctorat,2380.0,célibataire,0.96,2022-02-27,7000.0,25969.31390156188
55.0,oui,bac,3773.0,veuf,0.56,2024-04-03,5149.722,500.0
26.0,oui,aucun,3280.0,veuf,0.16,2023-08-16,1504.38,500.0
59.0,non,doctorat,1236.0,veuf,0.27,2025-02-07,148.64,500.0
45.0,non,bac,3700.0,veuf,0.27,2022-09-10,3347.2659999999996,500.0
56.0,oui,aucun,2556.0,veuf,0.21,2024-10-11,6239.546,500.0
60.0,non,aucun,1498.0,marié,0.25,2024-10-07,991.36,500.0
33.0,non,master,3673.0,célibataire,0.59,2022-04-14,6125.746,15447.487891752608
46.0,oui,bac+2,1517.0,veuf,0.21,2021-02-17,871.75,33039.482262154605
56.0,non,bac,942.0,divorcé,0.4,2022-11-02,532.47,2814.291214417311
45.0,oui,bac,3369.0,veuf,0.38,2020-11-12,674.35,6485.522432905486
65.0,non,bac,1899.0,divorcé,0.81,2021-08-21,5000.0,500.0
57.0,non,bac,5511.0,marié,0.95,2025-02-11,7125.745999999999,18913.573182111923
53.0,non,bac+2,3152.0,marié,0.46,2024-04-15,827.65,29952.602703918248
71.0,non,aucun,2437.0,célibataire,0.06,2024-01-23,5000.0,500.0
38.0,oui,aucun,1198.0,divorcé,0.26,2021-12-05,5000.0,500.0
47.0,oui,aucun,2760.0,veuf,0.16,2020-06-20,5000.0,500.0
58.0,non,master,1715.0,veuf,0.9,2025-05-03,10000.0,500.0
25.0,oui,master,2751.0,célibataire,0.75,2025-04-16,5000.0,500.0
20.0,non,bac,3878.0,veuf,0.75,2020-05-22,5000.0,11025.064543114582
38.0,non,bac+2,3397.0,veuf,0.46,2023-04-14,10000.0,500.0
56.0,non,bac+2,2724.0,veuf,0.38,2020-05-15,9000.0,2139.5957572864386
19.0,oui,aucun,3137.0,célibataire,0.28,2020-09-18,5000.0,500.0
48.0,non,aucun,2737.0,veuf,0.76,2020-01-20,5000.0,500.0
68.0,non,bac+2,1302.0,marié,0.01,2025-01-24,582.62,500.0
61.0,non,bac,1962.0,veuf,0.54,2022-05-28,10000.0,8394.66324168909
50.0,non,master,1676.0,veuf,0.68,2024-10-14,626.85,14916.872580013354
35.0,non,doctorat,2233.0,veuf,0.82,2024-03-04,5106.388000000001,500.0
57.0,oui,doctorat,5478.0,divorcé,0.94,2023-12-01,7125.746000000001,3984.794741675325
28.0,oui,doctorat,1656.0,veuf,0.97,2024-11-28,809.32,26592.283270461885
61.0,oui,aucun,3914.0,veuf,0.98,2022-11-24,10000.0,500.0
30.0,oui,master,500.0,célibataire,0.93,2021-03-27,713.09,22780.31709737975
25.0,non,doctorat,2608.0,marié,0.91,2021-06-20,744.13,11814.00760141825
38.0,oui,aucun,1177.0,veuf,0.34,2024-11-15,5284.09,500.0
63.0,oui,doctorat,3827.0,divorcé,0.78,2020-12-18,5000.0,500.0
22.0,oui,master,2915.0,célibataire,0.96,2020-08-23,5432.224,17888.35532233679
46.0,non,bac+2,2841.0,divorcé,0.06,2020-02-04,3303.85,500.0
21.0,oui,master,500.0,marié,0.14,2020-11-22,5000.0,500.0
20.0,oui,bac,2129.0,célibataire,0.61,2025-01-12,5000.0,649.5630251954094
64.0,non,doctorat,2928.0,veuf,0.01,2020-01-09,10000.0,500.0
57.0,oui,aucun,2195.0,marié,0.11,2024-11-19,7000.0,500.0
62.0,oui,doctorat,2156.0,veuf,0.68,2022-11-22,622.11,500.0
66.0,non,bac,3982.0,divorcé,0.67,2022-12-16,5000.0,500.0
75.0,oui,doctorat,2069.0,veuf,0.89,2022-05-31,10000.0,15380.547695732232
65.0,non,master,4777.0,veuf,0.9,2020-02-09,7000.0,2241.440919642173
70.0,oui,bac,1979.0,marié,0.24,2021-09-15,2472.704,500.0
56.0,non,doctorat,2120.0,veuf,0.8,2020-01-15,577.02,14741.930027756887
73.0,non,master,2952.0,veuf,0.74,2021-04-07,7111.860000000001,6558.49125213323
74.0,non,aucun,2562.0,divorcé,0.53,2024-03-15,674.33,8257.496710422885
54.0,oui,bac+2,2353.0,veuf,0.17,2022-07-17,7000.0,27531.70478763513
54.0,oui,aucun,1202.0,célibataire,0.86,2023-04-23,885.46,500.0
30.0,non,bac+2,1829.0,marié,0.16,2022-06-15,5000.0,500.0
31.0,non,bac,2865.0,veuf,0.06,2024-03-24,586.19,5991.829927828809
30.0,oui,doctorat,3887.0,divorcé,0.17,2024-03-17,5347.944,2229.452478450251
71.0,oui,aucun,3537.0,marié,0.22,2024-09-21,5000.0,500.0
43.0,oui,doctorat,2206.0,marié,0.41,2022-05-17,5000.0,32273.14558335014
63.0,oui,bac,2707.0,célibataire,0.04,2024-07-29,787.62,500.0
65.0,non,doctorat,500.0,marié,0.21,2020-07-05,10000.0,29705.629787002348
40.0,non,bac,2671.0,veuf,0.55,2020-10-09,5000.0,500.0
64.0,non,bac+2,3604.0,veuf,0.46,2022-12-02,10000.0,500.0
54.0,oui,bac+2,2914.0,marié,0.66,2022-03-06,10000.0,20264.661965661016
22.0,oui,aucun,2714.0,veuf,0.28,2022-08-09,2574.44,500.0
65.0,non,master,2687.0,célibataire,0.36,2023-02-17,5289.706,500.0
64.0,non,doctorat,2241.0,marié,0.65,2021-10-30,10000.0,14663.468950597158
54.0,non,bac+2,1755.0,marié,0.03,2024-03-25,5000.0,500.0
70.0,non,aucun,1879.0,marié,0.97,2020-09-10,6101.005999999999,500.0
51.0,non,master,1654.0,veuf,0.34,2024-06-01,706.35,500.0
70.0,oui,bac+2,3605.0,veuf,0.97,2022-12-01,10000.0,11827.099110473297
55.0,non,doctorat,3132.0,célibataire,0.53,2020-02-21,746.82,500.0
67.0,oui,master,1743.0,veuf,0.3,2021-08-10,6171.2,26007.54931342834
49.0,oui,doctorat,3606.0,divorcé,0.7,2023-11-23,10000.0,13542.052608120248
44.0,oui,bac,3015.0,divorcé,0.03,2022-12-22,6322.796,15370.731471867794
26.0,non,aucun,1992.0,divorcé,0.25,2022-11-18,409.31,500.0
37.0,non,bac+2,1642.0,célibataire,0.58,2021-05-26,10000.0,500.0
30.0,non,bac,1886.0,veuf,0.8,2025-04-01,4231.054,500.0
43.0,non,doctorat,1346.0,marié,0.86,2021-04-02,3393.59,500.0
65.0,oui,master,3600.0,veuf,0.6,2021-09-10,5000.0,16922.25195186645
63.0,oui,aucun,3144.0,divorcé,0.59,2025-05-11,4294.268,500.0
29.0,non,aucun,1736.0,veuf,0.35,2020-11-17,10000.0,500.0
66.0,oui,master,786.0,divorcé,0.3,2020-12-28,7125.746000000001,4838.792686019202
66.0,non,aucun,2776.4,veuf,0.38,2021-06-22,505.03,500.0
38.0,oui,bac,4285.0,marié,0.12,2024-08-10,1605.152,500.0
28.0,non,bac,3675.0,veuf,0.46,2022-10-13,6231.054,500.0
51.0,oui,bac,1727.0,célibataire,0.32,2020-03-13,10000.0,500.0
54.0,non,aucun,2756.0,veuf,0.67,2021-10-24,10000.0,500.0
42.0,oui,bac,2327.0,veuf,0.13,2021-09-03,5000.0,500.0
69.0,oui,aucun,1916.0,veuf,0.3,2024-08-26,1000.63,500.0
48.0,non,bac+2,1099.0,divorcé,0.68,2020-08-09,10000.0,500.0
56.0,oui,master,1605.0,marié,0.34,2024-07-07,787.02,18926.971012018177
58.0,non,bac+2,3162.0,marié,0.02,2020-12-23,10000.0,11317.05772707672
62.0,oui,master,3830.0,veuf,0.01,2020-08-27,7101.005999999999,500.0
63.0,non,aucun,500.0,veuf,0.04,2020-07-27,8159.774,500.0
29.0,oui,bac,2962.0,divorcé,0.4,2022-06-06,5000.0,500.0
36.0,oui,aucun,1523.0,veuf,0.02,2022-03-08,5000.0,7568.264375717334
27.0,non,doctorat,3554.0,divorcé,0.4,2020-03-20,5000.0,500.0
66.0,oui,doctorat,4443.0,veuf,0.53,2022-11-14,10000.0,7590.862162369456
54.0,non,bac,2766.0,veuf,0.99,2021-01-19,7000.0,500.0
42.0,oui,aucun,2837.0,veuf,0.93,2020-02-25,5000.0,500.0
70.0,oui,bac,2164.0,veuf,0.93,2023-02-28,4242.142,500.0
41.0,oui,doctorat,1271.0,marié,0.43,2021-05-16,5000.0,500.0
47.0,non,master,2230.0,célibataire,0.55,2020-01-09,4165.505999999999,500.0
35.0,non,bac+2,867.0,marié,0.71,2020-05-12,8201.612,500.0
20.0,oui,aucun,1505.0,veuf,0.37,2021-10-02,10000.0,500.0
24.0,non,aucun,1227.0,célibataire,0.04,2020-05-30,2477.02,500.0
41.0,non,master,1618.0,célibataire,0.3,2024-05-05,10000.0,500.0
28.0,oui,doctorat,1065.0,divorcé,0.33,2023-03-31,1831.6960000000004,500.0
55.0,non,bac,2321.0,veuf,0.09,2025-06-08,5000.0,500.0
66.0,non,master,1549.0,marié,0.63,2022-07-09,5000.0,500.0
29.0,oui,bac,2841.0,marié,0.59,2023-07-21,8125.745999999999,20359.14263743785
66.0,oui,aucun,1607.0,veuf,0.62,2023-09-19,5000.0,500.0
73.0,oui,bac+2,3126.0,célibataire,0.47,2022-05-28,10000.0,4573.03732213069
68.0,oui,doctorat,2530.0,marié,0.93,2022-11-19,10000.0,10236.238253239284
56.0,oui,bac,2284.0,divorcé,0.64,2024-11-15,1035.23,16987.09552051339
41.0,non,bac+2,4029.0,veuf,0.09,2025-01-19,5000.0,11396.277028540822
53.0,oui,bac,3122.0,divorcé,0.04,2020-10-27,10000.0,500.0
20.0,non,master,2554.0,célibataire,0.8,2020-06-26,10000.0,500.0
51.0,oui,master,4125.0,marié,0.37,2020-11-18,1050.24,3949.3607665094414
25.0,non,aucun,4148.0,divorcé,1.0,2022-12-15,769.87,500.0
29.0,non,aucun,2784.0,divorcé,0.24,2023-10-09,5000.0,500.0
28.0,non,bac+2,695.0,veuf,0.51,2024-01-19,5000.0,500.0
27.0,non,aucun,1389.0,célibataire,0.14,2023-02-06,5000.0,500.0
65.0,oui,master,1799.0,marié,0.27,2021-03-29,10000.0,15232.197838487937
37.0,oui,aucun,3680.0,veuf,0.05,2021-10-31,10000.0,8232.208869774784
61.0,non,master,4727.0,veuf,0.97,2021-07-15,10000.0,27080.061169135097
75.0,oui,aucun,1548.0,veuf,0.68,2020-12-01,694.61,14463.395705282652
28.0,oui,master,2284.0,marié,0.16,2020-06-20,7125.745999999999,6144.190390089874
68.0,non,master,4288.0,divorcé,0.98,2022-09-05,5000.0,18906.9193030344
33.0,oui,bac+2,3662.0,veuf,0.17,2022-01-12,969.83,24065.571824604594
36.0,oui,aucun,912.0,célibataire,0.35,2021-05-16,848.11,500.0
56.0,oui,bac,2589.0,veuf,0.79,2021-07-09,8096.639999999999,500.0
49.0,non,bac,2460.0,veuf,0.84,2021-01-13,6000.0,500.0
45.0,oui,bac,3372.0,veuf,0.65,2024-03-12,673.33,17172.11847966603
55.0,oui,bac,4175.0,divorcé,0.17,2023-09-12,795.44,18234.77874348745
31.0,oui,aucun,3192.0,célibataire,0.66,2023-06-12,5000.0,8520.84783692959
33.0,oui,bac,2008.0,veuf,0.39,2023-05-31,10000.0,500.0
64.0,oui,bac+2,1765.0,célibataire,0.39,2020-02-13,5000.0,500.0
30.0,oui,master,1412.0,célibataire,0.23,2023-05-30,1528.58,500.0
64.0,oui,bac,1818.0,veuf,0.84,2022-10-29,360.11,500.0
30.0,non,master,2957.0,veuf,0.39,2024-05-06,5000.0,6118.426138861176
25.0,non,bac,2198.0,veuf,0.32,2022-02-27,5000.0,13025.400471408417
45.0,non,bac+2,2062.0,veuf,0.7,2020-04-16,5000.0,4955.959871842641
73.0,oui,aucun,1193.0,divorcé,0.18,2022-08-14,1013.83,18497.083878446258
29.0,oui,bac,2466.0,célibataire,0.24,2021-04-16,5000.0,500.0
54.0,oui,master,3557.0,divorcé,0.6,2023-03-08,7125.745999999999,22311.581737233337
32.0,oui,bac,3773.0,marié,0.97,2020-08-16,10000.0,500.0
67.0,oui,doctorat,2161.0,veuf,0.75,2021-02-12,7000.0,9326.554250395482
21.0,non,bac,1498.0,célibataire,0.55,2023-02-12,10000.0,500.0
33.0,oui,doctorat,2844.0,veuf,0.34,2020-10-06,5000.0,500.0
69.0,non,bac,2499.0,divorcé,0.39,2022-01-29,5000.0,500.0
36.0,non,doctorat,2938.0,divorcé,0.63,2023-06-29,10000.0,500.0
35.0,oui,bac+2,3879.0,célibataire,0.5,2023-04-19,5000.0,500.0
66.0,non,master,4197.0,divorcé,0.85,2024-09-06,10000.0,500.0
34.0,oui,doctorat,1446.0,marié,0.11,2022-12-26,7125.745999999999,6960.69936859739
62.0,non,bac+2,3214.0,divorcé,0.3,2021-06-24,903.41,16711.385025422842
28.0,oui,bac+2,1689.0,veuf,0.65,2021-05-30,7125.745999999999,29780.01970191709
72.0,non,aucun,1091.0,divorcé,0.74,2022-04-09,5000.0,500.0
34.0,oui,bac+2,869.0,veuf,0.44,2020-12-23,1008.06,500.0
67.0,non,master,2858.0,veuf,0.79,2024-02-24,5101.005999999999,500.0
31.0,oui,bac+2,4194.0,veuf,0.77,2021-11-03,8125.745999999999,11334.949659759515
50.0,non,bac+2,3007.0,divorcé,0.61,2025-03-20,7000.0,500.0
27.0,non,bac,500.0,veuf,0.52,2020-10-10,5000.0,500.0
44.0,oui,bac+2,3739.0,veuf,0.04,2025-05-25,513.96,4073.275744228335
27.0,non,bac,1727.0,veuf,0.21,2023-08-14,5000.0,500.0
51.0,oui,bac,4562.0,veuf,0.46,2022-03-12,735.67,6269.273516866585
32.0,oui,master,2085.0,divorcé,0.43,2020-03-21,1110.9,8036.926835295528
72.0,oui,bac+2,3017.0,veuf,0.71,2023-07-06,5000.0,500.0
28.0,oui,doctorat,2777.0,marié,0.08,2024-07-03,3627.0480000000002,500.0
54.0,oui,doctorat,1034.0,divorcé,0.99,2025-05-07,7125.745999999999,1887.0557013554196
31.0,non,bac,3677.0,célibataire,0.35,2022-10-04,6125.746,18508.072744337143
57.0,non,bac+2,2725.0,veuf,0.72,2025-05-22,10000.0,500.0
38.0,oui,master,500.0,veuf,0.9,2020-01-07,5000.0,500.0
19.0,non,doctorat,2710.0,divorcé,0.6,2021-01-15,456.25,17202.968777774448
54.0,non,aucun,500.0,veuf,0.28,2021-12-20,5000.0,10529.209107225804
73.0,oui,master,2957.0,célibataire,0.31,2020-02-11,93.5,28031.7014101457
51.0,oui,bac+2,3011.0,célibataire,0.78,2022-04-12,10000.0,500.0
62.0,oui,aucun,1386.0,veuf,0.47,2021-04-29,4291.144,500.0
68.0,non,master,732.0,célibataire,0.56,2023-09-17,7125.745999999999,7415.928233616646
71.0,oui,doctorat,2650.0,veuf,0.54,2021-08-18,351.97,8812.344456114333
63.0,oui,bac,2849.0,veuf,0.06,2024-08-18,7200.562,16896.71714239694
22.0,oui,bac+2,2789.0,marié,0.33,2022-01-10,2534.0060000000003,500.0
75.0,oui,bac+2,2107.0,célibataire,0.09,2020-07-12,10000.0,500.0
35.0,oui,doctorat,2139.0,divorcé,0.95,2021-04-02,5332.5019999999995,13514.499252188314
56.0,oui,master,1215.0,marié,0.74,2021-06-15,5000.0,500.0
34.0,non,bac+2,2901.0,veuf,0.33,2025-02-15,5388.9580000000005,500.0
65.0,non,bac,3877.0,veuf,0.29,2025-05-27,4251.8099999999995,500.0
49.0,non,master,3393.0,célibataire,0.3,2024-05-05,3380.8019999999997,500.0
47.0,non,aucun,2013.0,marié,0.32,2023-10-23,10000.0,500.0
61.0,non,aucun,2669.0,divorcé,0.64,2021-09-20,6188.7,19227.75847089817
75.0,oui,master,3998.0,veuf,0.45,2023-08-11,5000.0,18094.12546371585
35.0,oui,aucun,2235.0,marié,0.45,2023-02-21,5000.0,500.0
45.0,oui,doctorat,1786.0,veuf,0.15,2021-06-28,5296.946,18657.275774742106
44.0,oui,aucun,833.0,célibataire,0.5,2021-07-10,10000.0,500.0
72.0,non,bac+2,3407.0,veuf,0.27,2024-09-27,5000.0,3804.9173492159534
43.0,non,master,1799.0,divorcé,0.62,2023-10-17,1718.9120000000003,500.0
67.0,non,bac,4414.0,veuf,0.81,2021-10-14,10000.0,17699.173265350273
43.0,non,bac,2756.0,divorcé,0.04,2021-08-23,1266.12,500.0
38.0,oui,bac+2,1816.0,veuf,0.51,2022-12-24,7125.745999999999,4761.08351981037
27.0,oui,master,1249.0,veuf,0.7,2022-03-07,5000.0,4818.502890286607
42.0,oui,aucun,4990.0,divorcé,0.86,2023-04-16,4333.868,500.0
19.0,oui,bac,1828.0,divorcé,0.53,2021-02-17,10000.0,500.0
67.0,non,doctorat,1433.0,marié,0.09,2023-11-16,999.11,7231.81620233486
62.0,non,master,1946.0,veuf,0.31,2020-08-08,6125.746,29153.804464817644
44.0,oui,master,1424.0,marié,0.21,2021-01-20,10000.0,500.0
26.0,non,master,3624.0,veuf,0.51,2023-09-12,10000.0,500.0
29.0,non,doctorat,2856.0,veuf,0.53,2025-02-23,6231.054,500.0
59.0,oui,aucun,3368.0,veuf,0.2,2023-11-03,1351.36,500.0
33.0,oui,doctorat,2496.0,marié,0.3,2022-02-03,5305.866,7138.762735234996
74.0,non,master,2643.0,veuf,0.46,2023-09-30,6196.951999999999,4453.426615750728
49.0,non,bac+2,1825.0,veuf,0.31,2024-02-10,5165.505999999999,500.0
40.0,non,master,3559.0,célibataire,0.24,2022-05-05,6125.746,20429.693991350305
23.0,oui,aucun,2859.0,veuf,0.85,2025-05-07,6326.308,17138.980737599995
20.0,non,doctorat,1017.0,divorcé,0.19,2024-03-08,10000.0,500.0
72.0,non,bac+2,3125.0,veuf,0.7,2021-11-06,5000.0,500.0
68.0,non,bac+2,3836.0,divorcé,0.49,2021-07-24,5000.0,11058.723476136376
41.0,oui,doctorat,4746.0,célibataire,0.4,2022-07-05,5000.0,16368.743811867553
39.0,oui,bac,3298.0,veuf,0.04,2022-01-18,793.3,28626.39798787251
67.0,oui,doctorat,3249.0,célibataire,0.3,2022-08-20,9000.0,18241.878144711696
33.0,oui,bac+2,3314.0,veuf,0.57,2023-09-11,739.01,6190.113683028287
