age,sport_licence,niveau_etude,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
47.0,non,bac+2,0.0,183.8,2914.0,célibataire,0.46,2023-06-01,1790.2720000000002,500.0
65.0,non,master,2.0,289.0,1040.0,veuf,0.67,2024-08-08,10000.0,500.0
60.0,oui,aucun,0.0,374.5,1427.0,veuf,0.09,2022-10-11,10000.0,500.0
65.0,oui,bac,1.0,268.8,681.0,veuf,0.25,2024-11-09,5000.0,500.0
74.0,oui,doctorat,0.0,351.3,3300.0,marié,0.89,2020-08-31,4408.338,753.6030929569296
52.0,non,bac+2,3.0,357.1,2175.0,veuf,0.95,2020-08-05,5000.0,14002.865498517638
49.0,oui,master,0.0,368.0,3484.0,veuf,0.65,2021-04-03,5000.0,17450.841622992128
22.0,non,doctorat,3.0,377.3,2106.0,célibataire,0.04,2024-01-17,5000.0,24090.770841341116
19.0,oui,doctorat,1.0,310.7,530.0,célibataire,0.24,2024-02-12,10000.0,500.0
59.0,oui,bac+2,5.0,93.7,5303.0,veuf,0.38,2025-05-11,385.13,26156.233451699125
56.0,non,bac+2,1.0,263.3,1714.0,marié,0.98,2022-08-23,755.18,500.0
41.0,oui,bac+2,0.0,224.9,1302.0,divorcé,0.06,2022-06-25,4409.816,500.0
60.0,oui,master,3.0,426.1,4205.0,célibataire,0.32,2024-02-22,959.2,8633.339757804348
35.0,non,doctorat,0.0,259.4,1337.0,veuf,0.32,2022-06-22,2435.6899999999996,500.0
40.0,non,master,2.0,317.4,1022.0,marié,0.83,2022-05-02,1181.95,22176.96596468062
26.0,oui,aucun,2.0,215.4,2685.0,célibataire,0.18,2020-03-24,5385.652,19568.24158699261
54.0,non,bac+2,2.0,200.2,2332.0,divorcé,0.38,2021-04-27,5000.0,500.0
43.0,oui,doctorat,2.0,232.5,1946.0,veuf,0.27,2024-10-25,5000.0,9420.317078132412
20.0,non,bac+2,4.0,442.4,500.0,veuf,0.63,2024-09-06,10000.0,4127.01517045297
59.0,non,bac,0.0,225.3,1436.0,divorcé,0.69,2025-01-16,7000.0,500.0
26.0,non,bac+2,4.0,224.1,3667.0,veuf,0.17,2024-11-14,10000.0,500.0
57.0,oui,aucun,1.0,251.4,3765.0,divorcé,0.29,2020-01-02,2415.6459999999997,500.0
59.0,oui,bac,2.0,128.1,1640.0,veuf,0.45,2022-06-15,10000.0,3720.305007666426
61.0,oui,aucun,0.0,256.0,3974.0,divorcé,0.84,2023-01-30,5000.0,500.0
67.0,oui,aucun,2.0,191.7,4633.0,veuf,0.84,2025-04-17,453.27,500.0
71.0,non,doctorat,0.0,206.4,2077.0,veuf,0.43,2021-01-15,5333.372,6069.528722438526
72.0,non,aucun,3.0,49.1,1408.0,marié,0.73,2025-01-13,6305.716,500.0
74.0,oui,master,3.0,282.3,2456.0,veuf,0.09,2025-03-10,6099.969999999999,9295.06139134704
50.0,non,bac,1.0,250.4,4343.0,divorcé,0.33,2024-11-07,4334.658,500.0
47.0,oui,doctorat,3.0,354.7,3830.0,célibataire,0.63,2021-01-06,6364.344,14147.963452934384
45.0,oui,bac+2,4.0,331.7,2778.0,veuf,0.75,2021-11-21,4325.024,500.0
45.0,non,doctorat,3.0,292.3,500.0,veuf,0.16,2021-06-14,5000.0,19071.53279373577
52.0,oui,doctorat,1.0,345.4,2380.0,célibataire,0.96,2022-02-27,7125.745999999999,25969.31390156188
55.0,oui,bac,0.0,279.9,3773.0,veuf,0.56,2024-04-03,3391.8160000000003,500.0
26.0,oui,aucun,0.0,343.3,3280.0,veuf,0.16,2023-08-16,1504.38,500.0
59.0,non,doctorat,1.0,322.2,1236.0,veuf,0.27,2025-02-07,148.64,500.0
45.0,non,bac,0.0,178.0,3700.0,veuf,0.27,2022-09-10,3238.8819999999996,500.0
56.0,oui,aucun,1.0,299.6,2556.0,veuf,0.21,2024-10-11,5203.0419999999995,500.0
60.0,non,aucun,2.0,424.2,1498.0,marié,0.25,2024-10-07,991.36,500.0
33.0,non,master,1.0,122.7,3673.0,célibataire,0.59,2022-04-14,5101.09,15447.487891752608
46.0,oui,bac+2,2.0,269.6,1517.0,veuf,0.21,2021-02-17,871.75,33039.482262154605
56.0,non,bac,2.0,148.3,942.0,divorcé,0.4,2022-11-02,532.47,2814.291214417311
45.0,oui,bac,5.0,264.2,3369.0,veuf,0.38,2020-11-12,674.35,6485.522432905486
65.0,non,bac,2.0,463.0,1899.0,divorcé,0.81,2021-08-21,5000.0,500.0
57.0,non,bac,3.0,202.4,5511.0,marié,0.95,2025-02-11,7080.05,18913.573182111923
53.0,non,bac+2,3.0,269.4,3152.0,marié,0.46,2024-04-15,827.65,29952.602703918248
71.0,non,aucun,0.0,460.5,2437.0,célibataire,0.06,2024-01-23,5000.0,500.0
38.0,oui,aucun,1.0,321.1,1198.0,divorcé,0.26,2021-12-05,5000.0,500.0
47.0,oui,aucun,1.0,486.8,2760.0,veuf,0.16,2020-06-20,5000.0,500.0
58.0,non,master,0.0,414.7,1715.0,veuf,0.9,2025-05-03,10000.0,500.0
25.0,oui,master,1.0,383.9,2751.0,célibataire,0.75,2025-04-16,5000.0,500.0
20.0,non,bac,1.0,174.2,3878.0,veuf,0.75,2020-05-22,5000.0,11025.064543114582
38.0,non,bac+2,1.0,240.6,3397.0,veuf,0.46,2023-04-14,10000.0,500.0
56.0,non,bac+2,2.0,360.8,2724.0,veuf,0.38,2020-05-15,7125.745999999999,2139.5957572864386
19.0,oui,aucun,2.0,316.7,3137.0,célibataire,0.28,2020-09-18,5000.0,500.0
48.0,non,aucun,3.0,134.6,2737.0,veuf,0.76,2020-01-20,5000.0,500.0
68.0,non,bac+2,4.0,182.9,1302.0,marié,0.01,2025-01-24,582.62,500.0
61.0,non,bac,3.0,214.8,1962.0,veuf,0.54,2022-05-28,10000.0,8394.66324168909
50.0,non,master,2.0,212.0,1676.0,veuf,0.68,2024-10-14,626.85,14916.872580013354
35.0,non,doctorat,0.0,183.2,2233.0,veuf,0.82,2024-03-04,7000.0,500.0
57.0,oui,doctorat,2.0,298.0,5478.0,divorcé,0.94,2023-12-01,5205.796,3984.794741675325
28.0,oui,doctorat,2.0,307.4,1656.0,veuf,0.97,2024-11-28,809.32,26592.283270461885
61.0,oui,aucun,1.0,34.9,3914.0,veuf,0.98,2022-11-24,10000.0,500.0
30.0,oui,master,4.0,335.4,500.0,célibataire,0.93,2021-03-27,713.09,22780.31709737975
25.0,non,doctorat,3.0,345.8,2608.0,marié,0.91,2021-06-20,744.13,11814.00760141825
38.0,oui,aucun,2.0,244.3,1177.0,veuf,0.34,2024-11-15,3437.1980000000003,500.0
63.0,oui,doctorat,2.0,330.4,3827.0,divorcé,0.78,2020-12-18,5000.0,500.0
22.0,oui,master,1.0,317.0,2915.0,célibataire,0.96,2020-08-23,7231.054000000001,8116.418225921251
46.0,non,bac+2,3.0,177.8,2841.0,divorcé,0.06,2020-02-04,4210.326,500.0
21.0,oui,master,0.0,340.1,500.0,marié,0.14,2020-11-22,5000.0,500.0
20.0,oui,bac,0.0,120.0,2129.0,célibataire,0.61,2025-01-12,5000.0,649.5630251954094
64.0,non,doctorat,1.0,322.3,2928.0,veuf,0.01,2020-01-09,10000.0,500.0
57.0,oui,aucun,0.0,371.1,2195.0,marié,0.11,2024-11-19,4287.8060000000005,500.0
62.0,oui,doctorat,2.0,216.3,2156.0,veuf,0.68,2022-11-22,622.11,500.0
66.0,non,bac,4.0,136.3,3982.0,divorcé,0.67,2022-12-16,5000.0,500.0
75.0,oui,doctorat,4.0,164.3,2069.0,veuf,0.89,2022-05-31,10000.0,15380.547695732232
65.0,non,master,0.0,175.0,4777.0,veuf,0.9,2020-02-09,5114.094,2241.440919642173
70.0,oui,bac,2.0,364.8,1979.0,marié,0.24,2021-09-15,4245.312,500.0
56.0,non,doctorat,2.0,174.7,2120.0,veuf,0.8,2020-01-15,577.02,14741.930027756887
73.0,non,master,2.0,386.5,2952.0,veuf,0.74,2021-04-07,6326.308,6558.49125213323
74.0,non,aucun,2.0,202.5,2562.0,divorcé,0.53,2024-03-15,674.33,8257.496710422885
54.0,oui,bac+2,3.0,376.4,2353.0,veuf,0.17,2022-07-17,7125.745999999999,27531.70478763513
54.0,oui,aucun,2.0,301.6,1202.0,célibataire,0.86,2023-04-23,885.46,500.0
30.0,non,bac+2,0.0,89.9,1829.0,marié,0.16,2022-06-15,5000.0,500.0
31.0,non,bac,3.0,356.0,2865.0,veuf,0.06,2024-03-24,586.19,5991.829927828809
30.0,oui,doctorat,1.0,391.8,3887.0,divorcé,0.17,2024-03-17,5347.944,2229.452478450251
71.0,oui,aucun,0.0,272.8,3537.0,marié,0.22,2024-09-21,5000.0,500.0
43.0,oui,doctorat,3.0,298.6,2206.0,marié,0.41,2022-05-17,5000.0,32273.14558335014
63.0,oui,bac,3.0,346.2,2707.0,célibataire,0.04,2024-07-29,787.62,500.0
65.0,non,doctorat,2.0,288.1,500.0,marié,0.21,2020-07-05,10000.0,29705.629787002348
40.0,non,bac,2.0,266.6,2671.0,veuf,0.55,2020-10-09,5000.0,500.0
64.0,non,bac+2,-1.0,313.9,3604.0,veuf,0.46,2022-12-02,10000.0,500.0
54.0,oui,bac+2,2.0,303.1,2914.0,marié,0.66,2022-03-06,10000.0,20264.661965661016
22.0,oui,aucun,2.0,329.3,2714.0,veuf,0.28,2022-08-09,4448.694,500.0
65.0,non,master,0.6,297.6,2687.0,célibataire,0.36,2023-02-17,7000.0,500.0
64.0,non,doctorat,2.0,100.8,2241.0,marié,0.65,2021-10-30,10000.0,14663.468950597158
54.0,non,bac+2,6.0,382.9,1755.0,marié,0.03,2024-03-25,5000.0,500.0
70.0,non,aucun,0.0,311.3,1879.0,marié,0.97,2020-09-10,6000.0,500.0
51.0,non,master,3.0,192.4,1654.0,veuf,0.34,2024-06-01,706.35,500.0
70.0,oui,bac+2,1.0,216.4,3605.0,veuf,0.97,2022-12-01,10000.0,11827.099110473297
55.0,non,doctorat,2.0,323.6,3132.0,célibataire,0.53,2020-02-21,746.82,500.0
67.0,oui,master,2.0,224.6,1743.0,veuf,0.3,2021-08-10,7000.0,26007.54931342834
49.0,oui,doctorat,1.0,215.1,3606.0,divorcé,0.7,2023-11-23,10000.0,13542.052608120248
44.0,oui,bac,3.0,351.0,3015.0,divorcé,0.03,2022-12-22,8125.745999999999,15370.731471867794
26.0,non,aucun,0.0,286.8,1992.0,divorcé,0.25,2022-11-18,409.31,500.0
37.0,non,bac+2,0.0,249.3,1642.0,célibataire,0.58,2021-05-26,10000.0,500.0
30.0,non,bac,1.0,284.5,1886.0,veuf,0.8,2025-04-01,8000.0,500.0
43.0,non,doctorat,0.0,215.6,1346.0,marié,0.86,2021-04-02,9000.0,500.0
65.0,oui,master,0.0,127.4,3600.0,veuf,0.6,2021-09-10,5000.0,16922.25195186645
63.0,oui,aucun,2.0,109.0,3144.0,divorcé,0.59,2025-05-11,4237.2660000000005,500.0
29.0,non,aucun,1.0,98.9,1736.0,veuf,0.35,2020-11-17,10000.0,500.0
66.0,oui,master,1.0,90.5,786.0,divorcé,0.3,2020-12-28,8000.0,4838.792686019202
66.0,non,aucun,2.0,179.8,1804.8,veuf,0.38,2021-06-22,505.03,500.0
38.0,oui,bac,0.0,253.4,4285.0,marié,0.12,2024-08-10,4336.176,500.0
28.0,non,bac,-1.0,410.1,3675.0,veuf,0.46,2022-10-13,4383.65,500.0
51.0,oui,bac,0.0,171.0,1727.0,célibataire,0.32,2020-03-13,10000.0,500.0
54.0,non,aucun,1.0,109.5,2756.0,veuf,0.67,2021-10-24,10000.0,500.0
42.0,oui,bac,0.0,73.9,2327.0,veuf,0.13,2021-09-03,5000.0,500.0
69.0,oui,aucun,0.0,374.9,1916.0,veuf,0.3,2024-08-26,1000.63,500.0
48.0,non,bac+2,0.0,260.0,1099.0,divorcé,0.68,2020-08-09,10000.0,500.0
56.0,oui,master,3.0,328.2,1605.0,marié,0.34,2024-07-07,787.02,18926.971012018177
58.0,non,bac+2,2.0,347.1,3162.0,marié,0.02,2020-12-23,10000.0,11317.05772707672
62.0,oui,master,2.0,223.1,3830.0,veuf,0.01,2020-08-27,8000.0,500.0
63.0,non,aucun,2.0,267.8,500.0,veuf,0.04,2020-07-27,4240.762000000001,500.0
29.0,oui,bac,1.0,75.2,2962.0,divorcé,0.4,2022-06-06,5000.0,500.0
36.0,oui,aucun,2.0,213.9,1523.0,veuf,0.02,2022-03-08,5000.0,7568.264375717334
27.0,non,doctorat,3.0,344.3,3554.0,divorcé,0.4,2020-03-20,5000.0,500.0
66.0,oui,doctorat,3.0,236.4,4443.0,veuf,0.53,2022-11-14,10000.0,7590.862162369456
54.0,non,bac,2.0,222.3,2766.0,veuf,0.99,2021-01-19,8000.0,500.0
42.0,oui,aucun,2.0,53.9,2837.0,veuf,0.93,2020-02-25,5000.0,500.0
70.0,oui,bac,2.0,208.1,2164.0,veuf,0.93,2023-02-28,4124.4220000000005,500.0
41.0,oui,doctorat,1.0,99.3,1271.0,marié,0.43,2021-05-16,5000.0,500.0
47.0,non,master,1.0,15.7,2230.0,célibataire,0.55,2020-01-09,5179.964,500.0
35.0,non,bac+2,-1.0,229.3,867.0,marié,0.71,2020-05-12,7000.0,500.0
20.0,oui,aucun,1.0,308.4,1505.0,veuf,0.37,2021-10-02,10000.0,500.0
24.0,non,aucun,1.0,137.7,1227.0,célibataire,0.04,2020-05-30,6173.818,500.0
41.0,non,master,2.0,167.6,1618.0,célibataire,0.3,2024-05-05,10000.0,500.0
28.0,oui,doctorat,-1.0,95.8,1065.0,divorcé,0.33,2023-03-31,3667.3779999999997,500.0
55.0,non,bac,1.0,464.2,2321.0,veuf,0.09,2025-06-08,5000.0,500.0
66.0,non,master,0.0,197.5,1549.0,marié,0.63,2022-07-09,5000.0,500.0
29.0,oui,bac,4.0,92.3,2841.0,marié,0.59,2023-07-21,5223.78,20359.14263743785
66.0,oui,aucun,1.0,109.8,1607.0,veuf,0.62,2023-09-19,5000.0,500.0
73.0,oui,bac+2,2.0,211.7,3126.0,célibataire,0.47,2022-05-28,10000.0,4573.03732213069
68.0,oui,doctorat,4.0,128.2,2530.0,marié,0.93,2022-11-19,10000.0,1492.7677769588831
56.0,oui,bac,3.0,250.1,2284.0,divorcé,0.64,2024-11-15,1035.23,16987.09552051339
41.0,non,bac+2,1.0,340.9,4029.0,veuf,0.09,2025-01-19,5000.0,11396.277028540822
53.0,oui,bac,0.0,264.4,3122.0,divorcé,0.04,2020-10-27,10000.0,500.0
20.0,non,master,2.0,101.5,2554.0,célibataire,0.8,2020-06-26,10000.0,500.0
51.0,oui,master,0.0,271.8,4125.0,marié,0.37,2020-11-18,1050.24,3949.3607665094414
25.0,non,aucun,1.0,160.6,4148.0,divorcé,1.0,2022-12-15,769.87,500.0
29.0,non,aucun,1.0,280.5,2784.0,divorcé,0.24,2023-10-09,5000.0,500.0
28.0,non,bac+2,1.0,238.5,695.0,veuf,0.51,2024-01-19,5000.0,500.0
27.0,non,aucun,0.0,455.0,1389.0,célibataire,0.14,2023-02-06,5000.0,500.0
65.0,oui,master,2.0,215.4,1799.0,marié,0.27,2021-03-29,10000.0,15232.197838487937
37.0,oui,aucun,2.0,229.6,3680.0,veuf,0.05,2021-10-31,10000.0,8232.208869774784
61.0,non,master,3.0,301.2,4727.0,veuf,0.97,2021-07-15,10000.0,27080.061169135097
75.0,oui,aucun,4.0,211.2,1548.0,veuf,0.68,2020-12-01,694.61,14463.395705282652
28.0,oui,master,-2.0,154.1,2284.0,marié,0.16,2020-06-20,7000.0,6144.190390089874
68.0,non,master,3.0,386.9,4288.0,divorcé,0.98,2022-09-05,5000.0,18906.9193030344
33.0,oui,bac+2,2.0,195.4,3662.0,veuf,0.17,2022-01-12,969.83,24065.571824604594
36.0,oui,aucun,1.0,82.8,912.0,célibataire,0.35,2021-05-16,848.11,500.0
56.0,oui,bac,4.0,85.1,2589.0,veuf,0.79,2021-07-09,6096.64,500.0
49.0,non,bac,1.0,322.1,2460.0,veuf,0.84,2021-01-13,5113.058,500.0
45.0,oui,bac,4.0,292.0,3372.0,veuf,0.65,2024-03-12,673.33,17172.11847966603
55.0,oui,bac,0.0,140.5,4175.0,divorcé,0.17,2023-09-12,795.44,18234.77874348745
31.0,oui,aucun,4.0,255.8,3192.0,célibataire,0.66,2023-06-12,5000.0,8520.84783692959
33.0,oui,bac,2.0,100.9,2008.0,veuf,0.39,2023-05-31,10000.0,500.0
64.0,oui,bac+2,0.0,248.6,1765.0,célibataire,0.39,2020-02-13,5000.0,500.0
30.0,oui,master,1.0,74.5,1412.0,célibataire,0.23,2023-05-30,1528.58,500.0
64.0,oui,bac,1.0,328.2,1818.0,veuf,0.84,2022-10-29,360.11,500.0
30.0,non,master,2.0,366.2,2957.0,veuf,0.39,2024-05-06,5000.0,6118.426138861176
25.0,non,bac,3.0,366.9,2198.0,veuf,0.32,2022-02-27,5000.0,13025.400471408417
45.0,non,bac+2,1.0,277.6,2062.0,veuf,0.7,2020-04-16,5000.0,4955.959871842641
73.0,oui,aucun,2.0,273.6,1193.0,divorcé,0.18,2022-08-14,1013.83,18497.083878446258
29.0,oui,bac,0.0,153.3,2466.0,célibataire,0.24,2021-04-16,5000.0,500.0
54.0,oui,master,2.0,272.9,3557.0,divorcé,0.6,2023-03-08,9000.0,22311.581737233337
32.0,oui,bac,1.0,258.0,3773.0,marié,0.97,2020-08-16,10000.0,500.0
67.0,oui,doctorat,0.0,220.1,2161.0,veuf,0.75,2021-02-12,6206.755999999999,9326.554250395482
21.0,non,bac,1.0,252.5,1498.0,célibataire,0.55,2023-02-12,10000.0,500.0
33.0,oui,doctorat,0.0,206.5,2844.0,veuf,0.34,2020-10-06,5000.0,500.0
69.0,non,bac,2.0,210.0,2499.0,divorcé,0.39,2022-01-29,5000.0,500.0
36.0,non,doctorat,0.0,193.5,2938.0,divorcé,0.63,2023-06-29,10000.0,500.0
35.0,oui,bac+2,2.0,78.3,3879.0,célibataire,0.5,2023-04-19,5000.0,500.0
66.0,non,master,1.0,235.53999999999996,4197.0,divorcé,0.85,2024-09-06,10000.0,500.0
34.0,oui,doctorat,3.0,158.8,1446.0,marié,0.11,2022-12-26,7000.0,6960.69936859739
62.0,non,bac+2,3.0,179.2,3214.0,divorcé,0.3,2021-06-24,903.41,16711.385025422842
28.0,oui,bac+2,3.0,263.9,1689.0,veuf,0.65,2021-05-30,7000.0,29780.01970191709
72.0,non,aucun,2.0,250.0,1091.0,divorcé,0.74,2022-04-09,5000.0,500.0
34.0,oui,bac+2,0.0,168.2,869.0,veuf,0.44,2020-12-23,1008.06,500.0
67.0,non,master,0.0,84.9,2858.0,veuf,0.79,2024-02-24,6235.76,500.0
31.0,oui,bac+2,3.0,277.8,4194.0,veuf,0.77,2021-11-03,8000.0,11334.949659759515
50.0,non,bac+2,0.0,119.4,3007.0,divorcé,0.61,2025-03-20,8000.0,500.0
27.0,non,bac,0.0,276.4,500.0,veuf,0.52,2020-10-10,5000.0,500.0
44.0,oui,bac+2,1.0,152.9,3739.0,veuf,0.04,2025-05-25,513.96,4073.275744228335
27.0,non,bac,-2.0,400.2,1727.0,veuf,0.21,2023-08-14,5000.0,500.0
51.0,oui,bac,3.0,402.1,4562.0,veuf,0.46,2022-03-12,735.67,6269.273516866585
32.0,oui,master,0.0,148.3,2085.0,divorcé,0.43,2020-03-21,1110.9,8036.926835295528
