age,taille,poids,sport_licence,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,niveau_etude_encoded,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,smoker_oui,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
75,178.4,54.2,oui,2714,0.0,0.88,734.0,10000.0,4704.9737016730005,0.0,False,False,False,False,False,False,False,True,False,True,False
39,190.1,82.8,oui,2783,1.0,0.83,357.0,577.66,12733.330382969947,1.0,False,False,False,False,True,False,False,False,False,False,True
60,162.6,77.6,non,1788,0.0,0.56,726.0,5000.0,10540.674784050036,1.0,False,False,False,False,False,False,False,True,True,False,False
31,181.1,69.4,oui,2600,5.0,0.98,574.0,5000.0,6156.501558240514,3.0,False,False,True,False,False,False,False,True,True,False,False
26,159.7,99.5,non,3008,4.0,0.05,484.0,,500.0,4.0,False,False,False,False,True,False,False,True,False,False,False
28,160.2,92.5,oui,500,0.0,0.4,805.0,5000.0,500.0,2.0,False,False,False,False,False,True,False,True,False,False,False
21,168.4,71.1,oui,3695,0.0,0.17,777.0,5000.0,22775.8955135935,4.0,False,False,True,False,False,False,False,True,False,True,False
70,172.9,70.9,oui,3304,0.0,0.28,497.0,5000.0,8853.723228062805,4.0,False,False,True,False,False,False,False,True,False,True,False
42,185.9,57.8,oui,897,0.0,0.05,574.0,5000.0,11778.343548052928,2.0,False,False,False,False,False,False,False,True,False,False,False
62,184.7,67.1,oui,4278,5.0,0.7,455.0,10000.0,31072.702663736723,3.0,False,False,False,False,False,False,True,False,False,False,False
37,181.5,91.8,non,3072,0.0,0.56,373.0,,21531.409941811824,3.0,False,False,False,False,False,True,False,False,False,False,False
34,174.5,75.3,non,2537,0.0,0.97,574.0,10000.0,500.0,0.0,False,False,False,False,True,False,False,True,True,False,False
37,164.1,74.1,non,4525,2.0,0.81,761.0,949.24,10946.391315339892,3.0,False,False,False,False,False,False,False,False,False,False,True
30,163.1,84.3,non,1295,0.0,0.52,574.0,,500.0,3.0,True,False,False,False,False,False,False,False,False,False,True
75,176.9,66.4,oui,1859,4.0,0.02,574.0,547.03,500.0,4.0,False,False,False,False,True,False,False,True,False,False,False
34,181.6,66.8,oui,1566,5.0,0.28,418.0,,1992.4825524566772,2.0,False,False,True,False,False,False,False,True,False,False,False
55,172.2,91.8,oui,3929,5.0,0.4,506.0,,15002.912094814255,1.0,False,False,False,False,False,True,False,True,False,True,False
32,143.5,82.1,oui,3770,0.0,0.4,574.0,,500.0,0.0,True,False,False,False,False,False,False,True,True,False,False
71,175.2,71.9,oui,4747,0.0,0.12,400.0,5000.0,500.0,0.0,False,True,False,False,False,False,False,True,False,True,False
44,168.8,56.1,non,3214,2.0,0.82,402.0,,10488.968596578909,3.0,False,False,False,True,False,False,False,True,False,True,False
70,169.1,75.5,oui,4602,0.0,0.36,574.0,,28770.26971420019,4.0,False,False,False,False,False,True,False,True,True,False,False
60,165.9,67.6,non,3203,0.0,0.12,440.0,944.44,500.0,2.0,False,False,False,False,True,False,False,False,False,False,True
70,165.1,77.1,non,3865,3.0,0.52,574.0,1128.66,37282.162849122215,4.0,False,False,False,False,False,False,False,False,False,False,False
54,180.3,75.4,oui,1851,2.0,0.67,574.0,348.33,10767.439217607673,0.0,False,False,False,True,False,False,False,False,False,True,False
61,160.7,83.0,oui,1598,0.0,0.39,321.0,10000.0,24759.669493278125,3.0,False,False,False,False,True,False,False,False,False,True,False
56,177.9,61.9,non,1770,3.0,0.83,352.0,185.52,4161.441442592443,0.0,True,False,False,False,False,False,False,False,False,False,True
33,168.1,88.1,oui,1083,4.0,0.49,574.0,10000.0,20879.755904736496,3.0,True,False,False,False,False,False,False,False,False,True,False
63,183.7,56.2,non,3127,0.0,0.17,574.0,5000.0,14801.426364952236,4.0,False,False,True,False,False,False,False,True,False,True,False
33,193.2,42.5,oui,3041,1.0,0.66,574.0,627.58,11145.183005926978,1.0,False,False,False,True,False,False,False,True,False,True,False
34,163.0,81.6,oui,2741,0.0,0.6,573.0,,500.0,4.0,False,False,False,False,False,False,False,True,True,False,False
47,167.4,59.2,oui,3059,2.0,0.69,574.0,,28698.200373046937,4.0,True,False,False,False,False,False,False,True,False,False,True
26,184.2,77.3,oui,2663,2.0,0.51,843.0,748.46,500.0,0.0,False,False,True,False,False,False,False,True,False,True,False
46,168.0,66.4,non,3361,0.0,0.65,574.0,10000.0,16872.53990370362,4.0,False,False,False,False,True,False,False,True,False,True,False
40,155.4,82.9,non,2530,0.0,0.7,454.0,10000.0,500.0,4.0,False,False,False,True,False,False,False,True,True,False,False
43,177.3,83.2,oui,2660,0.0,0.53,837.0,926.62,37114.160550787055,4.0,False,False,False,False,True,False,False,False,False,False,True
55,168.4,80.0,oui,500,4.0,0.97,718.0,559.26,29358.17769561137,4.0,False,False,False,True,False,False,False,False,False,True,False
18,158.6,77.5,oui,2023,0.0,0.89,574.0,1032.32,500.0,0.0,False,False,False,False,False,False,False,True,False,True,False
62,171.4,77.2,non,904,5.0,0.29,561.0,1065.43,6712.726721442828,2.0,False,True,False,False,False,False,False,False,False,True,False
45,173.3,68.6,non,568,4.0,0.51,574.0,10000.0,500.0,4.0,False,False,False,False,False,False,True,False,False,False,True
29,175.2,69.5,non,3624,0.0,0.21,574.0,1073.5,500.0,1.0,False,False,False,False,False,True,False,True,False,False,True
30,170.6,54.3,oui,2285,0.0,0.07,574.0,5000.0,24341.03004691129,3.0,False,False,False,False,True,False,False,False,False,True,False
74,159.7,95.8,non,1823,0.0,0.26,574.0,5000.0,9958.305010076558,3.0,False,False,False,False,False,False,True,True,False,False,True
42,173.8,71.8,oui,2040,3.0,0.29,521.0,10000.0,15699.8867602253,0.0,True,False,False,False,False,False,False,False,False,True,False
23,177.7,66.9,non,1059,0.0,0.72,574.0,5000.0,500.0,0.0,False,False,False,False,True,False,False,True,False,False,False
41,179.5,65.6,non,2321,1.0,0.53,574.0,5000.0,15785.751255071553,2.0,True,False,False,False,False,False,False,False,False,True,False
30,179.1,71.9,oui,5481,0.0,0.08,307.0,5000.0,22240.901666635506,3.0,False,False,False,False,False,True,False,True,True,False,False
23,162.2,72.1,oui,3627,0.0,0.77,574.0,,500.0,1.0,False,False,False,False,False,False,False,True,False,False,True
74,171.8,61.8,non,1216,1.0,0.79,574.0,5000.0,11292.029477601953,2.0,False,False,False,False,False,True,False,False,True,False,False
22,190.0,63.9,oui,1731,2.0,0.25,574.0,5000.0,4529.690297241665,1.0,True,False,False,False,False,False,False,True,True,False,False
71,155.9,37.0,non,4762,4.0,0.03,396.0,1486.62,500.0,0.0,False,False,False,False,True,False,False,False,False,True,False
41,175.3,73.0,oui,3480,3.0,0.86,574.0,10000.0,17264.275901828485,2.0,False,False,True,False,False,False,False,False,True,False,False
18,168.4,73.9,non,4463,0.0,0.15,747.0,,500.0,0.0,False,False,False,False,False,False,False,False,False,True,False
18,170.9,61.7,non,1668,0.0,0.83,514.0,1149.82,25390.88273988203,4.0,False,False,False,False,False,False,True,False,True,False,False
36,193.8,73.4,non,974,0.0,0.18,574.0,650.62,500.0,1.0,True,False,False,False,False,False,False,True,False,True,False
41,154.1,97.5,non,1993,3.0,0.47,384.0,,1281.9229939424142,3.0,True,False,False,False,False,False,False,True,True,False,False
59,156.8,75.3,non,3359,0.0,0.58,574.0,,500.0,0.0,False,False,False,True,False,False,False,True,False,False,False
18,162.9,79.1,oui,2863,0.0,0.34,574.0,1064.25,4124.384923241231,2.0,False,False,False,False,False,True,False,True,False,True,False
52,163.6,39.3,non,2217,3.0,0.59,574.0,5000.0,1703.2091550614111,1.0,False,False,False,False,False,True,False,True,False,False,True
44,159.6,84.8,oui,3603,0.0,0.34,574.0,,18161.86602584039,3.0,False,False,False,False,False,False,True,True,False,True,False
64,170.7,71.5,non,3097,0.0,0.83,574.0,5000.0,500.0,4.0,False,True,False,False,False,False,False,False,False,True,False
40,169.0,63.5,non,2140,3.0,0.09,574.0,798.03,500.0,2.0,False,False,False,True,False,False,False,False,False,False,False
73,178.7,79.1,non,2777,0.0,0.32,358.0,1172.07,500.0,1.0,False,False,True,False,False,False,False,True,True,False,False
56,181.1,72.0,non,1075,3.0,0.41,574.0,10000.0,10667.772211678155,3.0,False,False,False,False,False,True,False,False,False,True,False
36,174.3,56.6,non,3619,1.0,0.43,574.0,10000.0,13279.43790734672,0.0,True,False,False,False,False,False,False,False,False,True,False
34,174.1,67.6,oui,2597,1.0,0.3,574.0,1552.97,14865.32774958236,2.0,False,True,False,False,False,False,False,False,False,False,True
29,178.3,77.1,oui,3152,2.0,0.88,574.0,,2426.265552876417,0.0,False,True,False,False,False,False,False,False,False,False,False
25,164.8,42.6,non,3243,0.0,0.56,483.0,522.19,500.0,0.0,True,False,False,False,False,False,False,False,False,False,False
59,172.1,66.4,oui,1484,0.0,0.25,486.0,5000.0,17717.330429437272,4.0,False,False,False,True,False,False,False,True,False,True,False
41,165.8,82.8,oui,1797,3.0,0.31,574.0,283.86,10146.957094539635,2.0,False,True,False,False,False,False,False,False,True,False,False
74,151.8,51.9,non,2986,0.0,0.74,574.0,5000.0,11837.808210233152,2.0,False,False,False,False,False,False,False,True,True,False,False
24,165.3,66.9,oui,1930,3.0,0.32,599.0,948.83,10379.81877962131,0.0,True,False,False,False,False,False,False,False,False,True,False
73,166.9,69.0,non,4771,0.0,0.47,630.0,,19719.5017886146,0.0,False,False,False,False,False,False,False,False,False,False,True
60,167.8,39.7,non,2600,2.0,0.26,574.0,10000.0,500.0,0.0,False,False,False,False,True,False,False,False,False,True,False
22,189.5,92.8,non,1878,0.0,0.93,574.0,,500.0,2.0,False,False,False,True,False,False,False,False,True,False,False
75,160.8,68.2,non,4778,0.0,0.64,614.0,5000.0,8980.312053464007,2.0,False,False,False,False,False,False,False,False,False,False,False
75,160.7,89.3,oui,2248,0.0,0.02,574.0,10000.0,500.0,1.0,False,False,False,False,False,False,True,True,False,False,False
41,163.7,84.2,non,3039,0.0,0.92,574.0,883.63,500.0,1.0,False,False,True,False,False,False,False,True,False,True,False
40,171.7,58.2,non,1899,5.0,0.11,342.0,,500.0,1.0,False,False,False,False,False,False,True,True,False,False,True
39,163.6,40.5,non,3230,0.0,0.31,574.0,10000.0,500.0,0.0,False,False,False,False,False,False,True,True,False,False,False
47,179.2,67.9,oui,3789,0.0,0.68,377.0,,18509.20677497533,0.0,False,False,False,False,False,False,True,False,True,False,False
57,174.0,83.7,oui,4207,1.0,0.78,718.0,,21549.82401911197,1.0,False,True,False,False,False,False,False,False,False,False,False
69,181.4,37.9,oui,1435,0.0,0.24,304.0,,500.0,1.0,False,False,False,False,False,False,True,True,False,False,False
32,172.4,46.2,non,1861,0.0,0.78,574.0,5000.0,500.0,3.0,False,True,False,False,False,False,False,False,False,True,False
74,179.6,79.9,oui,1998,3.0,0.59,774.0,,500.0,2.0,False,False,False,False,True,False,False,True,True,False,False
55,185.8,54.9,oui,602,4.0,0.35,574.0,10000.0,5428.047793885788,4.0,False,False,False,True,False,False,False,True,False,False,True
40,177.6,85.5,oui,3474,4.0,0.71,496.0,1278.27,16752.789752354092,3.0,False,False,False,True,False,False,False,True,False,False,False
56,160.5,66.6,non,1908,5.0,0.47,318.0,5000.0,20423.84320730014,4.0,True,False,False,False,False,False,False,False,False,True,False
57,176.5,77.0,non,1176,0.0,0.32,574.0,,500.0,4.0,False,True,False,False,False,False,False,True,False,True,False
38,160.2,57.8,non,3112,0.0,0.7,822.0,623.38,500.0,0.0,False,False,True,False,False,False,False,True,True,False,False
33,167.5,38.5,oui,2377,0.0,0.44,646.0,5000.0,18901.259369115334,3.0,False,False,False,False,False,True,False,False,False,False,True
48,156.8,77.6,oui,4010,2.0,0.57,574.0,10000.0,40137.50246898064,4.0,False,False,False,False,False,False,True,True,False,False,True
59,174.4,62.1,oui,2448,0.0,0.33,574.0,10000.0,500.0,1.0,False,False,False,False,False,True,False,True,False,False,True
41,172.6,62.4,non,4319,5.0,0.08,574.0,,500.0,2.0,False,False,False,False,False,False,True,True,False,False,False
43,153.2,69.8,oui,4897,0.0,0.27,768.0,10000.0,35962.04802835945,2.0,False,False,False,False,False,False,False,False,False,False,True
45,168.0,58.7,non,4231,2.0,0.06,574.0,5000.0,500.0,1.0,False,False,False,False,False,True,False,False,False,True,False
61,167.0,57.3,non,2261,0.0,0.73,762.0,734.6,24528.671120857394,4.0,False,False,False,True,False,False,False,True,False,True,False
21,162.0,79.6,non,645,4.0,0.03,818.0,10000.0,500.0,0.0,False,False,True,False,False,False,False,True,False,False,True
22,160.4,73.5,oui,3191,0.0,0.74,574.0,10000.0,3639.7413556351794,3.0,False,False,False,False,False,True,False,False,False,False,True
75,147.7,54.3,non,2452,4.0,0.49,380.0,,500.0,3.0,True,False,False,False,False,False,False,False,False,True,False
60,164.2,79.5,oui,2571,2.0,0.41,574.0,10000.0,33049.468422152735,3.0,False,False,False,False,False,False,True,False,False,True,False
44,150.0,57.9,non,4154,0.0,0.76,574.0,5000.0,10656.8885958248,2.0,False,False,True,False,False,False,False,False,False,False,False
21,179.9,48.9,oui,969,0.0,0.02,574.0,731.72,500.0,2.0,False,False,False,False,True,False,False,False,False,True,False
29,178.0,76.3,non,3121,1.0,0.72,701.0,5000.0,7051.1771065952,1.0,False,False,False,False,False,False,True,True,False,False,False
25,166.1,82.6,non,3384,0.0,0.65,630.0,10000.0,500.0,3.0,False,False,False,False,True,False,False,False,True,False,False
68,185.4,56.5,oui,2285,1.0,0.21,792.0,10000.0,2724.919805153449,0.0,False,False,False,False,False,False,False,False,False,False,False
27,157.7,52.5,oui,2483,2.0,0.99,666.0,33.29,26282.620988748466,4.0,False,False,False,False,False,False,False,True,False,True,False
72,157.2,64.2,non,2466,0.0,0.16,801.0,,5070.610961595275,1.0,False,False,True,False,False,False,False,False,False,False,True
72,162.2,54.9,oui,2684,0.0,0.78,574.0,5000.0,15080.08702060483,4.0,True,False,False,False,False,False,False,False,False,False,True
35,178.6,70.5,oui,4243,2.0,0.02,359.0,10000.0,14306.900020371317,0.0,False,False,True,False,False,False,False,False,False,False,True
44,154.9,67.5,non,2265,0.0,0.22,574.0,10000.0,6693.74203294808,1.0,False,False,False,False,True,False,False,False,False,True,False
23,153.4,74.9,oui,3055,0.0,0.35,385.0,,1798.0125221383746,3.0,False,False,False,False,False,True,False,True,False,False,False
42,170.7,87.0,oui,1203,0.0,0.38,574.0,,10497.778053549608,4.0,False,False,False,False,False,False,True,False,False,True,False
62,165.3,86.1,non,4340,2.0,0.7,698.0,1004.67,500.0,0.0,False,True,False,False,False,False,False,True,False,False,False
23,170.3,91.7,non,1676,0.0,0.04,657.0,10000.0,500.0,0.0,False,True,False,False,False,False,False,False,False,True,False
23,170.8,46.7,oui,531,1.0,0.96,574.0,,500.0,2.0,True,False,False,False,False,False,False,True,True,False,False
22,157.9,31.8,non,1733,0.0,0.64,574.0,1411.64,6372.475344505444,2.0,True,False,False,False,False,False,False,True,False,True,False
37,166.2,85.2,oui,2743,5.0,0.49,574.0,,16741.9804046619,1.0,False,False,False,False,False,False,True,False,True,False,False
27,160.6,71.5,oui,500,2.0,0.23,574.0,,14504.604268333092,4.0,False,False,False,False,True,False,False,False,False,False,True
49,156.9,68.6,non,1711,5.0,0.53,574.0,,500.0,2.0,False,True,False,False,False,False,False,False,False,False,True
27,137.6,57.3,oui,3193,0.0,0.07,574.0,,17151.38822035942,2.0,False,False,False,False,False,False,False,True,False,True,False
59,172.6,70.3,non,3498,0.0,0.86,335.0,459.59,12032.654325077505,4.0,False,False,True,False,False,False,False,True,False,True,False
41,177.4,82.0,oui,1882,5.0,0.2,574.0,,28685.37160497041,2.0,False,False,False,False,True,False,False,False,False,False,True
45,162.2,46.1,non,1084,4.0,0.98,820.0,10000.0,500.0,1.0,False,False,True,False,False,False,False,True,False,False,True
73,159.2,67.1,non,2345,0.0,0.86,346.0,,500.0,3.0,False,False,True,False,False,False,False,False,False,False,True
43,161.9,56.7,non,2740,4.0,0.1,486.0,773.51,6726.144540197254,0.0,False,False,False,False,True,False,False,False,True,False,False
60,165.8,64.5,oui,1704,0.0,0.3,574.0,5000.0,500.0,0.0,True,False,False,False,False,False,False,True,True,False,False
57,173.2,54.9,non,871,0.0,0.47,706.0,,500.0,0.0,False,False,False,False,False,False,False,True,False,False,True
64,171.3,71.2,non,2589,0.0,0.7,574.0,,20212.703427559845,3.0,False,False,True,False,False,False,False,False,False,False,True
49,181.9,72.9,non,1127,0.0,0.22,830.0,,5504.582746306162,4.0,False,True,False,False,False,False,False,True,False,True,False
68,181.6,81.4,non,1526,0.0,0.49,359.0,,8878.890939012841,3.0,False,False,True,False,False,False,False,False,False,True,False
23,162.8,42.8,non,1797,1.0,0.04,595.0,546.16,500.0,1.0,True,False,False,False,False,False,False,False,True,False,False
40,155.4,74.5,non,2165,1.0,0.84,846.0,887.1,500.0,0.0,False,False,False,False,False,False,False,True,False,True,False
72,171.1,60.4,non,2676,0.0,0.46,574.0,5000.0,10124.44495985712,2.0,False,False,False,False,False,True,False,True,False,False,False
68,161.0,63.5,non,2107,5.0,0.84,574.0,688.7,8921.973730630438,3.0,True,False,False,False,False,False,False,True,True,False,False
32,163.8,76.0,non,2063,0.0,0.38,574.0,854.72,6035.446018551712,4.0,False,True,False,False,False,False,False,True,True,False,False
48,188.6,81.7,oui,1290,5.0,0.49,331.0,10000.0,8255.660172817976,3.0,False,False,False,True,False,False,False,True,True,False,False
75,164.3,65.9,non,1313,0.0,0.85,805.0,1260.4,5083.612822428259,0.0,True,False,False,False,False,False,False,False,True,False,False
57,171.0,39.3,non,1029,3.0,0.52,574.0,10000.0,500.0,0.0,True,False,False,False,False,False,False,True,False,True,False
75,175.4,79.0,oui,2362,4.0,0.39,491.0,5000.0,500.0,0.0,False,False,False,False,True,False,False,False,True,False,False
62,178.4,66.8,oui,3735,0.0,0.4,574.0,,500.0,0.0,False,True,False,False,False,False,False,True,True,False,False
37,171.7,82.7,non,2379,0.0,0.21,487.0,,500.0,1.0,False,False,False,False,False,False,True,False,False,True,False
63,170.2,47.8,non,2170,0.0,0.15,574.0,902.3,16629.25199108691,3.0,False,False,False,False,False,False,False,False,False,False,False
70,180.8,86.5,oui,5826,5.0,0.62,574.0,,29125.10607760429,3.0,False,False,False,False,False,True,False,True,False,True,False
51,150.6,81.2,oui,3353,0.0,0.86,574.0,,29651.483306242997,4.0,False,False,True,False,False,False,False,False,False,True,False
31,176.9,72.0,non,1599,0.0,0.35,574.0,5000.0,500.0,4.0,False,False,False,False,True,False,False,True,False,True,False
31,170.0,51.7,oui,1814,0.0,0.07,574.0,,38558.79613385785,4.0,False,False,False,False,False,False,True,False,True,False,False
21,172.5,75.1,oui,609,3.0,1.0,574.0,723.68,500.0,2.0,False,False,True,False,False,False,False,True,False,False,False
20,179.9,73.5,oui,3332,5.0,0.03,660.0,,14791.054255033709,1.0,False,False,False,False,False,False,False,True,False,False,False
56,161.2,92.0,non,2204,0.0,0.81,574.0,5000.0,24690.30817151772,4.0,False,False,False,True,False,False,False,False,False,True,False
42,166.9,85.5,oui,3099,2.0,0.73,574.0,,14232.322333697375,0.0,False,False,False,False,False,False,False,False,True,False,False
55,182.7,74.8,non,1771,0.0,0.09,301.0,5000.0,500.0,4.0,False,False,False,False,False,False,False,True,False,True,False
25,156.3,82.4,non,5431,0.0,0.29,505.0,5000.0,27702.156529405507,3.0,True,False,False,False,False,False,False,False,False,False,True
67,176.1,75.2,non,2979,4.0,0.56,376.0,,30331.9324936551,4.0,False,False,False,False,False,False,True,False,False,False,True
49,180.4,66.0,oui,3192,0.0,0.35,574.0,621.78,500.0,0.0,False,False,False,False,False,True,False,True,False,False,True
47,168.4,66.8,non,3877,4.0,0.69,574.0,780.64,26198.455079027182,2.0,True,False,False,False,False,False,False,False,True,False,False
68,169.2,93.5,oui,2128,0.0,0.18,574.0,,500.0,3.0,False,False,False,False,False,True,False,True,False,False,False
19,152.9,55.7,oui,1772,3.0,0.42,574.0,10000.0,12454.328982490384,0.0,False,False,False,False,False,False,True,False,True,False,False
65,176.8,59.5,oui,5181,4.0,0.56,574.0,10000.0,14858.463980839962,1.0,False,False,False,False,False,False,True,False,False,False,True
75,160.0,66.5,oui,3746,0.0,0.73,574.0,1002.34,16415.71124195981,2.0,False,False,False,True,False,False,False,True,False,True,False
53,178.0,43.5,oui,2952,0.0,0.03,630.0,1101.41,24462.730419394706,3.0,False,False,False,True,False,False,False,True,False,False,False
59,151.6,78.3,oui,500,3.0,0.38,574.0,672.52,500.0,0.0,False,False,False,False,False,True,False,True,False,False,False
20,171.6,88.3,non,500,2.0,0.2,574.0,921.64,500.0,2.0,False,False,False,False,False,True,False,False,False,False,False
34,176.9,43.0,oui,1863,4.0,0.92,574.0,,14449.054890309168,4.0,False,False,False,True,False,False,False,False,False,True,False
54,164.4,80.1,oui,1363,4.0,0.44,574.0,10000.0,500.0,0.0,True,False,False,False,False,False,False,True,False,True,False
